Exclude,Time(s),Cycle,Loop,Loop,Loop,Step,StepTime(s),Current(A),Voltage(V),Power(W),Capacity(Ah),Energy(Wh),Mode,Data
No,1,1,1,1,1,4,1,2.17,4.183,9,0,0,CHRG,
No,2,1,1,1,1,4,2,2.17,4.183,9,0,0,CHRG,
No,3,1,1,1,1,4,3,2.17,4.183,9,0,0,CHRG,
No,4,1,1,1,1,4,4,2.17,4.183,9,0,0.01,CHRG,
No,5,1,1,1,1,4,5,2.17,4.184,9,0,0.01,CHRG,
No,6,1,1,1,1,4,6,2.17,4.184,9,0,0.01,CHRG,
No,7,1,1,1,1,4,7,2.17,4.185,9,0,0.01,CHRG,
No,8,1,1,1,1,4,8,2.17,4.184,9,0,0.02,CHRG,
No,9,1,1,1,1,4,9,2.17,4.185,9,0,0.02,CHRG,
No,10,1,1,1,1,4,10,2.17,4.185,9,0,0.02,CHRG,
No,11,1,1,1,1,4,11,2.17,4.186,9,0,0.02,CHRG,
No,12,1,1,1,1,4,12,2.17,4.185,9,0,0.03,CHRG,
No,13,1,1,1,1,4,13,2.17,4.186,9,0,0.03,CHRG,
No,14,1,1,1,1,4,14,2.17,4.186,9,0,0.03,CHRG,
No,15,1,1,1,1,4,15,2.17,4.186,9,0,0.03,CHRG,
No,16,1,1,1,1,4,16,2.17,4.187,9,0,0.04,CHRG,
No,17,1,1,1,1,4,17,2.17,4.187,9,0.01,0.04,CHRG,
No,18,1,1,1,1,4,18,2.17,4.187,9,0.01,0.04,CHRG,
No,19,1,1,1,1,4,19,2.17,4.187,9,0.01,0.04,CHRG,
No,20,1,1,1,1,4,20,2.17,4.187,9,0.01,0.05,CHRG,
No,21,1,1,1,1,4,21,2.17,4.187,9,0.01,0.05,CHRG,
No,22,1,1,1,1,4,22,2.17,4.188,9,0.01,0.05,CHRG,
No,23,1,1,1,1,4,23,2.17,4.187,9,0.01,0.05,CHRG,
No,24,1,1,1,1,4,24,2.17,4.188,9,0.01,0.06,CHRG,
No,25,1,1,1,1,4,25,2.17,4.188,9,0.01,0.06,CHRG,
No,26,1,1,1,1,4,26,2.17,4.188,9,0.01,0.06,CHRG,
No,27,1,1,1,1,4,27,2.17,4.188,9,0.01,0.06,CHRG,
No,28,1,1,1,1,4,28,2.17,4.188,9,0.01,0.07,CHRG,
No,29,1,1,1,1,4,29,2.17,4.188,9,0.01,0.07,CHRG,
No,30,1,1,1,1,4,30,2.17,4.188,9,0.01,0.07,CHRG,
No,31,1,1,1,1,4,31,2.17,4.189,9,0.01,0.07,CHRG,
No,32,1,1,1,1,4,32,2.17,4.189,9,0.01,0.08,CHRG,
No,33,1,1,1,1,4,33,2.17,4.189,9,0.01,0.08,CHRG,
No,34,1,1,1,1,4,34,2.17,4.189,9,0.02,0.08,CHRG,
No,35,1,1,1,1,4,35,2.17,4.189,9,0.02,0.08,CHRG,
No,36,1,1,1,1,4,36,2.17,4.189,9,0.02,0.09,CHRG,
No,37,1,1,1,1,4,37,2.17,4.189,9,0.02,0.09,CHRG,
No,38,1,1,1,1,4,38,2.17,4.189,9,0.02,0.09,CHRG,
No,39,1,1,1,1,4,39,2.17,4.189,9,0.02,0.09,CHRG,
No,40,1,1,1,1,4,40,2.17,4.189,9,0.02,0.1,CHRG,
No,41,1,1,1,1,4,41,2.17,4.19,9,0.02,0.1,CHRG,
No,42,1,1,1,1,4,42,2.17,4.19,9,0.02,0.1,CHRG,
No,43,1,1,1,1,4,43,2.17,4.19,9,0.02,0.1,CHRG,
No,44,1,1,1,1,4,44,2.17,4.19,9,0.02,0.11,CHRG,
No,45,1,1,1,1,4,45,2.17,4.19,9,0.02,0.11,CHRG,
No,46,1,1,1,1,4,46,2.17,4.19,9,0.02,0.11,CHRG,
No,47,1,1,1,1,4,47,2.17,4.19,9,0.02,0.11,CHRG,
No,48,1,1,1,1,4,48,2.17,4.19,9,0.02,0.12,CHRG,
No,49,1,1,1,1,4,49,2.17,4.191,9,0.02,0.12,CHRG,
No,50,1,1,1,1,4,50,2.17,4.191,9,0.03,0.12,CHRG,
No,51,1,1,1,1,4,51,2.17,4.19,9,0.03,0.12,CHRG,
No,52,1,1,1,1,4,52,2.17,4.191,9,0.03,0.13,CHRG,
No,53,1,1,1,1,4,53,2.17,4.191,9,0.03,0.13,CHRG,
No,54,1,1,1,1,4,54,2.17,4.191,9,0.03,0.13,CHRG,
No,55,1,1,1,1,4,55,2.17,4.191,9,0.03,0.13,CHRG,
No,56,1,1,1,1,4,56,2.17,4.191,9,0.03,0.14,CHRG,
No,57,1,1,1,1,4,57,2.17,4.191,9,0.03,0.14,CHRG,
No,58,1,1,1,1,4,58,2.17,4.191,9,0.03,0.14,CHRG,
No,59,1,1,1,1,4,59,2.17,4.191,9,0.03,0.14,CHRG,
No,60,1,1,1,1,4,60,2.17,4.191,9,0.03,0.15,CHRG,
No,120,1,1,1,1,4,120,2.17,4.195,9.1,0.07,0.3,CHRG,
No,180,1,1,1,1,4,180,2.17,4.197,9.1,0.1,0.45,CHRG,
No,240,1,1,1,1,4,240,2.17,4.198,9.1,0.14,0.6,CHRG,
No,300,1,1,1,1,4,300,2.17,4.199,9.1,0.18,0.75,CHRG,
No,360,1,1,1,1,4,360,2.17,4.2,9.1,0.21,0.9,CHRG,
No,420,1,1,1,1,4,420,2.16,4.2,9,0.25,1.05,CHRG,
No,480,1,1,1,1,4,480,2.15,4.2,9,0.28,1.2,CHRG,
No,540,1,1,1,1,4,540,2.14,4.2,8.9,0.32,1.35,CHRG,
No,600,1,1,1,1,4,600,2.14,4.2,8.9,0.36,1.5,CHRG,
No,660,1,1,1,1,4,660,2.13,4.2,8.9,0.39,1.65,CHRG,
No,720,1,1,1,1,4,720,2.12,4.2,8.9,0.43,1.8,CHRG,
No,780,1,1,1,1,4,780,2.12,4.2,8.9,0.46,1.94,CHRG,
No,840,1,1,1,1,4,840,2.12,4.2,8.9,0.5,2.09,CHRG,
No,900,1,1,1,1,4,900,2.12,4.2,8.9,0.53,2.24,CHRG,
No,960,1,1,1,1,4,960,2.11,4.2,8.8,0.57,2.39,CHRG,
No,1020,1,1,1,1,4,1020,2.11,4.2,8.8,0.6,2.53,CHRG,
No,1080,1,1,1,1,4,1080,2.1,4.2,8.8,0.64,2.68,CHRG,
No,1140,1,1,1,1,4,1140,2.1,4.2,8.8,0.67,2.83,CHRG,
No,1200,1,1,1,1,4,1200,2.09,4.2,8.7,0.71,2.97,CHRG,
No,1260,1,1,1,1,4,1260,2.08,4.2,8.7,0.74,3.12,CHRG,
No,1320,1,1,1,1,4,1320,2.08,4.2,8.7,0.78,3.26,CHRG,
No,1380,1,1,1,1,4,1380,2.08,4.2,8.7,0.81,3.41,CHRG,
No,1440,1,1,1,1,4,1440,2.07,4.2,8.6,0.85,3.55,CHRG,
No,1500,1,1,1,1,4,1500,2.07,4.2,8.6,0.88,3.69,CHRG,
No,1560,1,1,1,1,4,1560,2.07,4.2,8.6,0.91,3.84,CHRG,
No,1620,1,1,1,1,4,1620,2.06,4.2,8.6,0.95,3.98,CHRG,
No,1680,1,1,1,1,4,1680,2.06,4.2,8.6,0.98,4.12,CHRG,
No,1740,1,1,1,1,4,1740,2.05,4.2,8.6,1.02,4.27,CHRG,
No,1800,1,1,1,1,4,1800,2.04,4.2,8.5,1.05,4.41,CHRG,
No,1860,1,1,1,1,4,1860,2.04,4.2,8.5,1.09,4.55,CHRG,
No,1920,1,1,1,1,4,1920,2.04,4.2,8.5,1.12,4.7,CHRG,
No,1980,1,1,1,1,4,1980,2.03,4.2,8.5,1.15,4.84,CHRG,
No,2040,1,1,1,1,4,2040,2.03,4.2,8.5,1.19,4.98,CHRG,
No,2100,1,1,1,1,4,2100,2.03,4.2,8.5,1.22,5.12,CHRG,
No,2160,1,1,1,1,4,2160,2.02,4.2,8.4,1.26,5.26,CHRG,
No,2220,1,1,1,1,4,2220,2.02,4.2,8.4,1.29,5.4,CHRG,
No,2280,1,1,1,1,4,2280,2.01,4.2,8.4,1.32,5.54,CHRG,
No,2340,1,1,1,1,4,2340,2.01,4.2,8.4,1.36,5.68,CHRG,
