Test Name,170504_NisLeaf_65Ah_mod123_0.3C_IRdischarge
Test Date,5/4/2017 7:36:22 AM
Operator ID,labttf
,
Program Name,0.3C discharge
Program Description,
Program Database,C:\VisuaLCN\Programs\ORNL_Leaf.mdb
,
Module Type,xS
Module Description,FTV4-300-24
Address,Port: 1, Sys Controller: 3  Circuit: 2
Name,Port 1, Ctrl 3, Addr 2
Device ID,Unknown
,
Notes,  5.25b, MDB 10.11
Editable Notes,

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Amp Hours Charge,Amp Hours Discharge,Watt Hours Charge,Watt Hours Discharge,User Variable #1,User Variable #2,User Variable #3,User Variable #4,Cell Voltage A1,Cell Voltage A2,Cell Voltage A3,Cell Voltage A4,Cell Voltage A5,Cell Voltage A6,Temperature A1,Temperature A2,Temperature A3,Unassigned A1,Mode,Real Time,Data Acquisition Flag,
1.0,1,1,1,1,1,1.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:24 AM, ,
2.0,1,1,1,1,1,2.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:25 AM, ,
3.0,1,1,1,1,1,3.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:26 AM, ,
4.0,1,1,1,1,1,4.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:27 AM, ,
5.0,1,1,1,1,1,5.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:28 AM, ,
6.0,1,1,1,1,1,6.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:29 AM, ,
7.0,1,1,1,1,1,7.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:30 AM, ,
8.0,1,1,1,1,1,8.0,0,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.169,22.5,22.5,23,0,REST,5/4/2017 7:36:31 AM, ,
9.0,1,1,1,1,1,9.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.169,22.5,22.5,23,0,REST,5/4/2017 7:36:32 AM, ,
10.0,1,1,1,1,1,10.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:33 AM, ,
11.0,1,1,1,1,1,11.0,-0.02,24.86,0,0,0,0,0,0,0,0,5.77195e-042,5.84201e-042,5.84201e-042,4.119,4.169,4.169,4.131,4.162,4.17,22.5,22.5,23,0,REST,5/4/2017 7:36:34 AM, ,
