Test Name,170413_NissanLeaf_65Ah_Mod123_1CDischarge_IR
Test Date,4/13/2017 7:47:34 AM
Operator ID,labttf
,
Program Name,1C discharge
Program Description,
Program Database,C:\VisuaLCN\Programs\ORNL_Leaf.mdb
,
Module Type,xS
Module Description,FTV4-300-24
Address,Port: 1, Sys Controller: 3  Circuit: 2
Name,Port 1, Ctrl 3, Addr 2
Device ID,Unknown
,
Notes,  5.25b, MDB 10.11
Editable Notes,

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Amp Hours Charge,Amp Hours Discharge,Watt Hours Charge,Watt Hours Discharge,User Variable #1,User Variable #2,User Variable #3,User Variable #4,Cell Voltage A1,Cell Voltage A2,Cell Voltage A3,Cell Voltage A4,Cell Voltage A5,Cell Voltage A6,Temperature A1,Temperature A2,Temperature A3,Unassigned A1,Mode,Real Time,Data Acquisition Flag,
1.0,1,1,1,1,1,1.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.156,4.164,22,22,22.5,0,REST,4/13/2017 7:47:36 AM, ,
2.0,1,1,1,1,1,2.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:37 AM, ,
3.0,1,1,1,1,1,3.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:38 AM, ,
4.0,1,1,1,1,1,4.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:39 AM, ,
5.0,1,1,1,1,1,5.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:40 AM, ,
6.0,1,1,1,1,1,6.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:41 AM, ,
7.0,1,1,1,1,1,7.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:42 AM, ,
8.0,1,1,1,1,1,8.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:43 AM, ,
9.0,1,1,1,1,1,9.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:44 AM, ,
10.0,1,1,1,1,1,10.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:45 AM, ,
11.0,1,1,1,1,1,11.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:46 AM, ,
12.0,1,1,1,1,1,12.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:47 AM, ,
13.0,1,1,1,1,1,13.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:48 AM, ,
14.0,1,1,1,1,1,14.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:49 AM, ,
15.0,1,1,1,1,1,15.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:50 AM, ,
16.0,1,1,1,1,1,16.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:51 AM, ,
17.0,1,1,1,1,1,17.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:52 AM, ,
18.0,1,1,1,1,1,18.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:53 AM, ,
19.0,1,1,1,1,1,19.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.128,4.157,4.164,22,22,22.5,0,REST,4/13/2017 7:47:54 AM, ,
20.0,1,1,1,1,1,20.0,-0.02,24.83,0,0,0,0,0,0,0,0,5.76494e-042,5.83781e-042,5.83641e-042,4.114,4.166,4.165,4.129,4.157,4.164,21.5,22,22.5,0,REST,4/13/2017 7:47:55 AM,S,
20.1,1,1,1,1,2,.1,-65,24.52,-1593,0,-0.04,0,0,0,-0.04,0,5.73411e-042,5.80418e-042,5.81399e-042,4.092,4.142,4.149,4.111,4.136,4.143,22,22,22.5,0,DCHG,4/13/2017 7:47:55 AM, ,
20.2,1,1,1,1,2,.2,-65,24.5,-1592,0,-0.08,0,0,0,-0.08,0,5.70048e-042,5.76494e-042,5.77055e-042,4.068,4.114,4.118,4.078,4.106,4.112,21.5,22,22.5,0,DCHG,4/13/2017 7:47:55 AM, ,
20.4,1,1,1,1,2,.4,-64.98,24.49,-1591,0,-0.17,0,0,0,-0.17,0,5.69768e-042,5.76074e-042,5.76634e-042,4.066,4.111,4.115,4.076,4.103,4.108,22,22,22.5,0,DCHG,4/13/2017 7:47:55 AM, ,
20.6,1,1,1,1,2,.6,-65,24.48,-1591,-0.01,-0.26,0,-0.01,0,-0.26,0,5.69488e-042,5.75934e-042,5.76494e-042,4.064,4.11,4.114,4.075,4.102,4.106,21.5,22,22.5,0,DCHG,4/13/2017 7:47:55 AM, ,
20.9,1,1,1,1,2,.9,-65,24.47,-1590,-0.01,-0.39,0,-0.01,0,-0.39,0,5.69348e-042,5.75653e-042,5.75934e-042,4.063,4.108,4.11,4.073,4.099,4.104,22,22,22.5,0,DCHG,4/13/2017 7:47:56 AM, ,
21.0,1,1,1,1,2,1.0,-65,24.47,-1590,-0.01,-0.44,0,-0.01,0,-0.44,0,5.69348e-042,5.75513e-042,5.75794e-042,4.063,4.107,4.109,4.073,4.099,4.103,22,22,22.5,0,DCHG,4/13/2017 7:47:56 AM, ,
21.2,1,1,1,1,2,1.2,-65,24.46,-1589,-0.02,-0.53,0,-0.02,0,-0.53,0,5.69207e-042,5.75373e-042,5.75794e-042,4.062,4.106,4.109,4.072,4.098,4.103,22,22,22.5,0,DCHG,4/13/2017 7:47:56 AM, ,
21.7,1,1,1,1,2,1.7,-65,24.45,-1589,-0.03,-0.75,0,-0.03,0,-0.75,0,5.68927e-042,5.75093e-042,5.75373e-042,4.06,4.104,4.106,4.071,4.096,4.101,21.5,22,22.5,0,DCHG,4/13/2017 7:47:57 AM, ,
22.0,1,1,1,1,2,2.0,-65,24.45,-1588,-0.03,-0.88,0,-0.03,0,-0.88,0,5.68927e-042,5.74953e-042,5.75233e-042,4.06,4.103,4.105,4.07,4.095,4.099,21.5,22,22.5,0,DCHG,4/13/2017 7:47:57 AM, ,
22.1,1,1,1,1,2,2.1,-64.98,24.44,-1588,-0.03,-0.92,0,-0.03,0,-0.92,0,5.68787e-042,5.74813e-042,5.75233e-042,4.059,4.102,4.105,4.07,4.094,4.099,22,22,22.5,0,DCHG,4/13/2017 7:47:57 AM, ,
22.7,1,1,1,1,2,2.7,-64.98,24.43,-1587,-0.04,-1.19,0,-0.04,0,-1.19,0,5.68647e-042,5.74673e-042,5.74953e-042,4.058,4.101,4.103,4.066,4.092,4.097,22,22,22.5,0,DCHG,4/13/2017 7:47:58 AM, ,
23.0,1,1,1,1,2,3.0,-64.98,24.43,-1587,-0.05,-1.32,0,-0.05,0,-1.32,0,5.68507e-042,5.74532e-042,5.74953e-042,4.057,4.1,4.103,4.066,4.092,4.096,21.5,22,22.5,0,DCHG,4/13/2017 7:47:58 AM, ,
23.3,1,1,1,1,2,3.3,-64.98,24.42,-1587,-0.05,-1.45,0,-0.05,0,-1.45,0,5.68507e-042,5.74392e-042,5.74673e-042,4.057,4.099,4.101,4.065,4.091,4.096,21.5,22,22.5,0,DCHG,4/13/2017 7:47:58 AM, ,
23.9,1,1,1,1,2,3.9,-65,24.41,-1586,-0.07,-1.72,0,-0.07,0,-1.72,0,5.68227e-042,5.74252e-042,5.74532e-042,4.055,4.098,4.1,4.064,4.089,4.094,21.5,22,22.5,0,DCHG,4/13/2017 7:47:59 AM, ,
24.0,1,1,1,1,2,4.0,-65,24.41,-1586,-0.07,-1.76,0,-0.07,0,-1.76,0,5.68227e-042,5.74252e-042,5.74532e-042,4.055,4.098,4.1,4.064,4.089,4.094,21.5,22,22.5,0,DCHG,4/13/2017 7:47:59 AM, ,
24.8,1,1,1,1,2,4.8,-64.98,24.4,-1586,-0.08,-2.11,0,-0.08,0,-2.11,0,5.68086e-042,5.73972e-042,5.74252e-042,4.054,4.096,4.098,4.063,4.087,4.092,21.5,22,22.5,0,DCHG,4/13/2017 7:48:00 AM, ,
25.0,1,1,1,1,2,5.0,-65,24.4,-1585,-0.09,-2.2,0,-0.09,0,-2.2,0,5.68086e-042,5.73832e-042,5.74252e-042,4.054,4.095,4.098,4.062,4.087,4.091,21.5,22,22.5,0,DCHG,4/13/2017 7:48:00 AM, ,
25.6,1,1,1,1,2,5.6,-65,24.39,-1585,-0.1,-2.46,0,-0.1,0,-2.46,0,5.67946e-042,5.73692e-042,5.73972e-042,4.053,4.094,4.096,4.062,4.086,4.091,21.5,22,22.5,0,DCHG,4/13/2017 7:48:00 AM, ,
26.0,1,1,1,1,2,6.0,-64.98,24.39,-1584,-0.1,-2.64,0,-0.1,0,-2.64,0,5.67806e-042,5.73551e-042,5.73972e-042,4.052,4.093,4.096,4.061,4.085,4.089,21.5,22,22.5,0,DCHG,4/13/2017 7:48:01 AM, ,
26.5,1,1,1,1,2,6.5,-64.98,24.38,-1584,-0.11,-2.86,0,-0.11,0,-2.86,0,5.67806e-042,5.73271e-042,5.73832e-042,4.052,4.091,4.095,4.061,4.084,4.088,22,22,22.5,0,DCHG,4/13/2017 7:48:01 AM, ,
27.0,1,1,1,1,2,7.0,-65,24.38,-1584,-0.12,-3.08,0,-0.12,0,-3.08,0,5.67666e-042,5.73271e-042,5.73692e-042,4.051,4.091,4.094,4.06,4.083,4.087,21.5,22,22.5,0,DCHG,4/13/2017 7:48:02 AM, ,
27.5,1,1,1,1,2,7.5,-64.98,24.37,-1584,-0.13,-3.3,0,-0.13,0,-3.3,0,5.67526e-042,5.73131e-042,5.73551e-042,4.05,4.09,4.093,4.059,4.082,4.086,21.5,22,22.5,0,DCHG,4/13/2017 7:48:02 AM, ,
28.0,1,1,1,1,2,8.0,-65,24.37,-1584,-0.14,-3.52,0,-0.14,0,-3.52,0,5.67526e-042,5.72991e-042,5.73411e-042,4.05,4.089,4.092,4.058,4.082,4.086,21.5,22,22.5,0,DCHG,4/13/2017 7:48:03 AM, ,
28.5,1,1,1,1,2,8.5,-65,24.36,-1583,-0.15,-3.74,0,-0.15,0,-3.74,0,5.67386e-042,5.72851e-042,5.73271e-042,4.049,4.088,4.091,4.057,4.08,4.085,22,22,22.5,0,DCHG,4/13/2017 7:48:03 AM, ,
29.0,1,1,1,1,2,9.0,-65,24.36,-1582,-0.16,-3.96,0,-0.16,0,-3.96,0,5.67386e-042,5.72851e-042,5.73271e-042,4.049,4.088,4.091,4.057,4.08,4.084,21.5,22,22.5,0,DCHG,4/13/2017 7:48:04 AM, ,
29.7,1,1,1,1,2,9.7,-64.98,24.35,-1582,-0.17,-4.27,0,-0.17,0,-4.27,0,5.67246e-042,5.72711e-042,5.72991e-042,4.048,4.087,4.089,4.057,4.079,4.083,21.5,22,22.5,0,DCHG,4/13/2017 7:48:05 AM, ,
30.0,1,1,1,1,2,10.0,-64.98,24.35,-1582,-0.18,-4.4,0,-0.18,0,-4.4,0,5.67246e-042,5.72571e-042,5.72991e-042,4.048,4.086,4.089,4.056,4.079,4.083,22,22,22.5,0,DCHG,4/13/2017 7:48:05 AM, ,
30.6,1,1,1,1,2,10.6,-64.98,24.34,-1582,-0.19,-4.66,0,-0.19,0,-4.66,0,5.67105e-042,5.7243e-042,5.72851e-042,4.047,4.085,4.088,4.055,4.077,4.082,21.5,22,22.5,0,DCHG,4/13/2017 7:48:05 AM, ,
31.0,1,1,1,1,2,11.0,-64.98,24.34,-1581,-0.19,-4.84,0,-0.19,0,-4.84,0,5.67105e-042,5.7229e-042,5.72711e-042,4.047,4.084,4.087,4.055,4.077,4.081,22,22,22.5,0,DCHG,4/13/2017 7:48:06 AM, ,
31.9,1,1,1,1,2,11.9,-65,24.33,-1581,-0.21,-5.24,0,-0.21,0,-5.24,0,5.66965e-042,5.7229e-042,5.72571e-042,4.046,4.084,4.086,4.054,4.076,4.08,21.5,22,22.5,0,DCHG,4/13/2017 7:48:07 AM, ,
