Test Name,170411_NissanLeaf_65Ah_mod123_2C_IRDischarge
Test Date,4/11/2017 11:45:06 AM
Operator ID,labttf
,
Program Name,2C discharge
Program Description,
Program Database,C:\VisuaLCN\Programs\ORNL_Leaf.mdb
,
Module Type,xS
Module Description,FTV4-300-24
Address,Port: 1, Sys Controller: 3  Circuit: 2
Name,Port 1, Ctrl 3, Addr 2
Device ID,Unknown
,
Notes,  5.25b, MDB 10.11
Editable Notes,

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Amp Hours Charge,Amp Hours Discharge,Watt Hours Charge,Watt Hours Discharge,User Variable #1,User Variable #2,User Variable #3,User Variable #4,Cell Voltage A1,Cell Voltage A2,Cell Voltage A3,Cell Voltage A4,Cell Voltage A5,Cell Voltage A6,Temperature A1,Temperature A2,Temperature A3,Unassigned A1,Mode,Real Time,Data Acquisition Flag,
1.0,1,1,1,1,1,1.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:07 AM, ,
2.0,1,1,1,1,1,2.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.18,25,25.5,25,0,REST,4/11/2017 11:45:08 AM, ,
3.0,1,1,1,1,1,3.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:09 AM, ,
4.0,1,1,1,1,1,4.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.18,25,25.5,25,0,REST,4/11/2017 11:45:10 AM, ,
5.0,1,1,1,1,1,5.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.18,25,25.5,25,0,REST,4/11/2017 11:45:11 AM, ,
6.0,1,1,1,1,1,6.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:12 AM, ,
7.0,1,1,1,1,1,7.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:13 AM, ,
8.0,1,1,1,1,1,8.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.171,4.181,25,25.5,25,0,REST,4/11/2017 11:45:14 AM, ,
9.0,1,1,1,1,1,9.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:15 AM, ,
10.0,1,1,1,1,1,10.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:16 AM, ,
11.0,1,1,1,1,1,11.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:17 AM, ,
12.0,1,1,1,1,1,12.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85883e-042,4.122,4.182,4.181,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:18 AM, ,
13.0,1,1,1,1,1,13.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:19 AM, ,
14.0,1,1,1,1,1,14.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:20 AM, ,
15.0,1,1,1,1,1,15.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85883e-042,4.122,4.182,4.181,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:21 AM, ,
16.0,1,1,1,1,1,16.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:22 AM, ,
17.0,1,1,1,1,1,17.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85883e-042,4.122,4.182,4.181,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:23 AM, ,
18.0,1,1,1,1,1,18.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:24 AM, ,
19.0,1,1,1,1,1,19.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.137,4.172,4.181,25,25.5,25,0,REST,4/11/2017 11:45:25 AM, ,
20.0,1,1,1,1,1,20.0,-0.02,24.91,0,0,0,0,0,0,0,0,5.77615e-042,5.86023e-042,5.85743e-042,4.122,4.182,4.18,4.136,4.172,4.18,25,25.5,25,0,REST,4/11/2017 11:45:26 AM,S,
20.1,1,1,1,1,2,.1,-130,24.34,-3163,0,-0.08,0,0,0,-0.08,0,5.73271e-042,5.80978e-042,5.81259e-042,4.091,4.146,4.148,4.1,4.133,4.139,25,25.5,25,0,DCHG,4/11/2017 11:45:27 AM, ,
