Test Name,170410_NisLeaf_65Ah_mod123_2.75C_IRdischarge
Test Date,4/10/2017 1:51:36 PM
Operator ID,labttf
,
Program Name,2.75C discharge
Program Description,
Program Database,C:\VisuaLCN\Programs\ORNL_Leaf.mdb
,
Module Type,xS
Module Description,FTV4-300-24
Address,Port: 1, Sys Controller: 3  Circuit: 2
Name,Port 1, Ctrl 3, Addr 2
Device ID,Unknown
,
Notes,  5.25b, MDB 10.11
Editable Notes,

Total Time,Cycle,Loop Counter #1,Loop Counter #2,Loop Counter #3,Step,Step time,Current,Voltage,Power,Amp-Hours,Watt-Hours,Amp Hours Charge,Amp Hours Discharge,Watt Hours Charge,Watt Hours Discharge,User Variable #1,User Variable #2,User Variable #3,User Variable #4,Cell Voltage A1,Cell Voltage A2,Cell Voltage A3,Cell Voltage A4,Cell Voltage A5,Cell Voltage A6,Temperature A1,Temperature A2,Temperature A3,Unassigned A1,Mode,Real Time,Data Acquisition Flag,
1.0,1,1,1,1,1,1.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87564e-042,5.87564e-042,4.129,4.193,4.193,4.148,4.181,4.191,25,25.5,25.5,0,REST,4/10/2017 1:51:37 PM, ,
2.0,1,1,1,1,1,2.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87424e-042,5.87564e-042,4.129,4.192,4.193,4.149,4.181,4.191,25,25.5,25.5,0,REST,4/10/2017 1:51:38 PM, ,
3.0,1,1,1,1,1,3.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87424e-042,5.87564e-042,4.129,4.192,4.193,4.149,4.181,4.191,25,26,25.5,0,REST,4/10/2017 1:51:39 PM, ,
4.0,1,1,1,1,1,4.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87424e-042,5.87564e-042,4.129,4.192,4.193,4.149,4.181,4.191,25,26,25.5,0,REST,4/10/2017 1:51:40 PM, ,
5.0,1,1,1,1,1,5.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87424e-042,5.87424e-042,4.129,4.192,4.192,4.148,4.181,4.191,25,26,25.5,0,REST,4/10/2017 1:51:41 PM, ,
6.0,1,1,1,1,1,6.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87424e-042,5.87424e-042,4.129,4.192,4.192,4.149,4.181,4.191,25,25.5,25.5,0,REST,4/10/2017 1:51:42 PM, ,
7.0,1,1,1,1,1,7.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87424e-042,5.87424e-042,4.129,4.192,4.192,4.149,4.181,4.191,25,26,25.5,0,REST,4/10/2017 1:51:43 PM, ,
8.0,1,1,1,1,1,8.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78596e-042,5.87424e-042,5.87564e-042,4.129,4.192,4.193,4.149,4.181,4.191,25,26,25.5,0,REST,4/10/2017 1:51:44 PM, ,
9.0,1,1,1,1,1,9.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78736e-042,5.87424e-042,5.87424e-042,4.13,4.192,4.192,4.148,4.181,4.191,25,25.5,25.5,0,REST,4/10/2017 1:51:45 PM, ,
10.0,1,1,1,1,1,10.0,-0.04,24.96,0,0,0,0,0,0,0,0,5.78736e-042,5.87424e-042,5.87424e-042,4.13,4.192,4.192,4.149,4.181,4.191,25,25.5,25.5,0,REST,4/10/2017 1:51:46 PM, ,
